,Regression type,lambda,kFold,Complexity,Value,Metric
0,OLS,0,0,0,1.068286339745794,MSE
1,OLS,0,0,1,0.9926198737699247,MSE
2,OLS,0,0,2,0.988579007024473,MSE
3,OLS,0,0,3,0.9753439749060521,MSE
4,OLS,0,0,4,0.9661512407185485,MSE
5,OLS,0,0,5,0.9552815987001587,MSE
6,OLS,0,0,6,0.9433869355240364,MSE
7,OLS,0,0,7,0.938954868840515,MSE
8,OLS,0,0,8,0.9193489290989522,MSE
9,OLS,0,0,9,0.8909564391530322,MSE
10,OLS,0,0,10,0.890672140726134,MSE
11,OLS,0,0,11,0.8818542612973772,MSE
12,OLS,0,0,12,0.8672731761604678,MSE
13,OLS,0,0,13,0.8662373068512309,MSE
14,OLS,0,0,14,0.864030485726619,MSE
15,OLS,0,0,15,0.859997390802748,MSE
16,OLS,0,0,16,0.854514029375559,MSE
17,OLS,0,0,17,0.845234836462605,MSE
18,OLS,0,0,18,0.8455811661349617,MSE
19,OLS,0,0,19,0.84409830648861,MSE
20,OLS,0,0,20,0.8366564412713513,MSE
0,OLS,0,0,0,0.0,Bias
1,OLS,0,0,1,-0.15133293195173914,Bias
2,OLS,0,0,2,-0.15941466544264205,Bias
3,OLS,0,0,3,-0.18588472967948766,Bias
4,OLS,0,0,4,-0.20427019805452573,Bias
5,OLS,0,0,5,-0.22600948209763483,Bias
6,OLS,0,0,6,-0.24979880859054027,Bias
7,OLS,0,0,7,-0.2586629389341434,Bias
8,OLS,0,0,8,-0.29787455189276824,Bias
9,OLS,0,0,9,-0.35465838978920716,Bias
10,OLS,0,0,10,-0.3552306156146948,Bias
11,OLS,0,0,11,-0.3728598399496966,Bias
12,OLS,0,0,12,-0.40213600934499383,Bias
13,OLS,0,0,13,-0.4040975775481317,Bias
14,OLS,0,0,14,-0.40851295317395,Bias
15,OLS,0,0,15,-0.4165762968710479,Bias
16,OLS,0,0,16,-0.4275453848719587,Bias
17,OLS,0,0,17,-0.44610336020965247,Bias
18,OLS,0,0,18,-0.44541078694243175,Bias
19,OLS,0,0,19,-0.44837378556903107,Bias
20,OLS,0,0,20,-0.46324552738364466,Bias
0,OLS,0,0,0,0.0,Variance
1,OLS,0,0,1,0.07566646597586973,Variance
2,OLS,0,0,2,0.07970733272132105,Variance
3,OLS,0,0,3,0.09294236483974572,Variance
4,OLS,0,0,4,0.10213509902728027,Variance
5,OLS,0,0,5,0.11300474105199948,Variance
6,OLS,0,0,6,0.12489940436878261,Variance
7,OLS,0,0,7,0.12933146802886444,Variance
8,OLS,0,0,8,0.14893714124592639,Variance
9,OLS,0,0,9,0.1773284891964454,Variance
10,OLS,0,0,10,0.17761641659503483,Variance
11,OLS,0,0,11,0.18642776150127985,Variance
12,OLS,0,0,12,0.20112284575966763,Variance
13,OLS,0,0,13,0.20204854465356864,Variance
14,OLS,0,0,14,0.204257099154775,Variance
15,OLS,0,0,15,0.20828734792800185,Variance
16,OLS,0,0,16,0.21377307450172367,Variance
17,OLS,0,0,17,0.22305185692646348,Variance
18,OLS,0,0,18,0.2227056133315994,Variance
19,OLS,0,0,19,0.22418575231184698,Variance
20,OLS,0,0,20,0.23161562890920193,Variance
0,OLS,0,0,0,0.0,R2
1,OLS,0,0,1,0.07082976086156334,R2
2,OLS,0,0,2,0.0746123298181347,R2
3,OLS,0,0,3,0.08700136038607242,R2
4,OLS,0,0,4,0.09560648229532664,R2
5,OLS,0,0,5,0.10578132176858646,R2
6,OLS,0,0,6,0.1169156616300816,R2
7,OLS,0,0,7,0.12106442448384613,R2
8,OLS,0,0,8,0.13941712545185458,R2
9,OLS,0,0,9,0.1659947281877242,R2
10,OLS,0,0,10,0.16626085386613154,R2
11,OLS,0,0,11,0.17451508225105605,R2
12,OLS,0,0,12,0.18816412426761786,R2
13,OLS,0,0,13,0.18913377937851583,R2
14,OLS,0,0,14,0.19119953744590534,R2
15,OLS,0,0,15,0.19497483136647598,R2
16,OLS,0,0,16,0.20010768875047458,R2
17,OLS,0,0,17,0.20879374282391894,R2
18,OLS,0,0,18,0.20846955102302123,R2
19,OLS,0,0,19,0.20985762423071996,R2
20,OLS,0,0,20,0.21682379513488936,R2
