,Regression type,lambda,kFold,Complexity,Value,Metric
0,OLS,0.0,5,5.0,0.00270754550653369,MSE
0,OLS,0.0,5,5.0,-0.00288398634231757,Bias
0,OLS,0.0,5,5.0,0.0014422768769361267,Variance
0,OLS,0.0,5,5.0,0.3474430322173759,R2
0,OLS,0.0,5,5.0,0.0027070591667559905,MSE_train
0,RIDGE,1e-06,5,5.0,0.002772628011147726,MSE
0,RIDGE,1e-06,5,5.0,-0.002671430024748387,Bias
0,RIDGE,1e-06,5,5.0,0.0012948047127460806,Variance
0,RIDGE,1e-06,5,5.0,0.3317492219883033,R2
0,RIDGE,1e-06,5,5.0,0.002772224459178972,MSE_train
0,LASSO,1e-06,5,5.0,0.004149256160847745,MSE
0,LASSO,1e-06,5,5.0,1.6809676862269315e-09,Bias
0,LASSO,1e-06,5,5.0,0.0,Variance
0,LASSO,1e-06,5,5.0,-1.033034896202878e-05,R2
0,LASSO,1e-06,5,5.0,0.00414925619292837,MSE_train
0,RIDGE,1e-05,5,5.0,0.0027725677137100065,MSE
0,RIDGE,1e-05,5,5.0,-0.0026715300743444326,Bias
0,RIDGE,1e-05,5,5.0,0.0012948434603464905,Variance
0,RIDGE,1e-05,5,5.0,0.3317687425564741,R2
0,RIDGE,1e-05,5,5.0,0.0027722296517553187,MSE_train
0,LASSO,1e-05,5,5.0,0.004149256150799493,MSE
0,LASSO,1e-05,5,5.0,1.7027098401684883e-09,Bias
0,LASSO,1e-05,5,5.0,0.0,Variance
0,LASSO,1e-05,5,5.0,-1.0544060712880388e-05,R2
0,LASSO,1e-05,5,5.0,0.004149256192526434,MSE_train
0,RIDGE,0.0001,5,5.0,0.0027725696995550215,MSE
0,RIDGE,0.0001,5,5.0,-0.0026715582940027493,Bias
0,RIDGE,0.0001,5,5.0,0.0012948729622767607,Variance
0,RIDGE,0.0001,5,5.0,0.33178186862551245,R2
0,RIDGE,0.0001,5,5.0,0.0027722303054358833,MSE_train
0,LASSO,0.0001,5,5.0,0.0041492562296678165,MSE
0,LASSO,0.0001,5,5.0,6.766861174413026e-10,Bias
0,LASSO,0.0001,5,5.0,0.0,Variance
0,LASSO,0.0001,5,5.0,-3.860313551521759e-06,R2
0,LASSO,0.0001,5,5.0,0.004149256195681208,MSE_train
0,RIDGE,0.001,5,5.0,0.002772574631374164,MSE
0,RIDGE,0.001,5,5.0,-0.002671535664723909,Bias
0,RIDGE,0.001,5,5.0,0.001294858087233929,Variance
0,RIDGE,0.001,5,5.0,0.33176297278487804,R2
0,RIDGE,0.001,5,5.0,0.0027722283895780927,MSE_train
0,LASSO,0.001,5,5.0,0.004149256131938013,MSE
0,LASSO,0.001,5,5.0,2.380126923095109e-10,Bias
0,LASSO,0.001,5,5.0,0.0,Variance
0,LASSO,0.001,5,5.0,-1.7945235106416508e-06,R2
0,LASSO,0.001,5,5.0,0.004149256191771967,MSE_train
0,OLS,0.0,5,11.0,0.001710607647193345,MSE
0,OLS,0.0,5,11.0,-0.004922487688162781,Bias
0,OLS,0.0,5,11.0,0.002483841588925862,Variance
0,OLS,0.0,5,11.0,0.5877148856244977,R2
0,OLS,0.0,5,11.0,0.001709953384348376,MSE_train
0,RIDGE,1e-06,5,11.0,0.002419819497361021,MSE
0,RIDGE,1e-06,5,11.0,-0.003304700469470334,Bias
0,RIDGE,1e-06,5,11.0,0.001575266028396054,Variance
0,RIDGE,1e-06,5,11.0,0.41679313796961887,R2
0,RIDGE,1e-06,5,11.0,0.0024192513219587724,MSE_train
